,model_id,set,rmse,size,label
0,1,Train,1807551.3653293941,1,area
1,2,Train,3655572.7160830563,1,parking
2,3,Train,1974737.1759038423,2,stories+prefarea
3,4,Train,1366788.1040595532,3,area+stories+prefarea
4,5,Train,1218600.6583582612,4,area+stories+bathrooms+prefarea
5,6,Train,1396699.3253779227,4,area+bedrooms+mainroad+guestroom
6,7,Train,1537834.7275220433,5,area+hotwaterheating+airconditioning+parking+prefarea
7,8,Train,1030802.2499373874,13,area+bedrooms+bathrooms+stories+mainroad+guestroom+basement+hotwaterheating+airconditioning+parking+prefarea+dfurnished+dsemifurnished
8,1,Validation,1853442.6353435293,1,area
9,2,Validation,3599062.5729551697,1,parking
10,3,Validation,2096772.0165681033,2,stories+prefarea
11,4,Validation,1463575.87714667,3,area+stories+prefarea
12,5,Validation,1287483.270831363,4,area+stories+bathrooms+prefarea
13,6,Validation,1471958.403156513,4,area+bedrooms+mainroad+guestroom
14,7,Validation,1588596.6062907095,5,area+hotwaterheating+airconditioning+parking+prefarea
15,8,Validation,1173102.8198817435,13,area+bedrooms+bathrooms+stories+mainroad+guestroom+basement+hotwaterheating+airconditioning+parking+prefarea+dfurnished+dsemifurnished
